Price,Mileage,Model_Year,S,SEL,SES,ST,Sedan,NEW LISTING,REDUCED,Certified
10458,55600,0,0,0,0,0,1,0,1,0
10498,31522,1,0,0,0,0,1,0,0,0
10649,35219,1,0,0,0,0,0,0,0,0
10777,32936,1,0,0,0,0,1,0,0,0
10878,32696,1,0,0,0,0,1,0,1,0
10900,30823,1,0,0,0,0,1,0,0,0
10950,10305,2,0,0,0,0,1,0,1,0
10977,38832,0,0,0,0,0,0,0,0,0
10985,46810,0,0,0,0,0,1,1,0,0
10985,48419,0,0,0,1,0,0,0,0,0
10988,35181,1,0,0,1,0,0,0,0,0
10988,45082,0,0,0,0,0,1,0,0,0
10991,55585,0,0,0,0,0,1,0,0,0
10991,32254,1,0,0,0,0,1,0,0,0
10993,12194,2,0,0,0,0,1,0,0,0
10994,14631,4,1,0,0,0,1,0,1,0
10995,33985,1,0,0,0,0,1,0,0,0
11300,16747,2,0,0,0,0,1,0,0,0
11381,17050,2,0,0,0,0,1,0,0,0
11400,52099,0,0,1,0,0,1,0,0,1
11466,52958,0,0,0,1,0,0,0,0,1
11480,20228,2,0,0,0,0,0,0,0,0
11500,35806,1,0,0,0,0,0,0,0,0
11593,39024,1,0,0,0,0,0,0,0,0
11690,47244,0,0,0,1,0,0,0,0,0
11711,26156,2,1,0,0,0,1,0,0,1
11787,45751,0,0,0,0,0,1,0,0,0
11900,50918,0,0,0,0,0,0,1,0,0
11949,6262,2,0,0,0,0,1,0,0,0
11967,36926,0,0,0,1,0,0,0,0,0
11989,24766,2,0,0,0,0,1,0,0,0
11991,27395,2,0,0,0,0,0,0,1,1
11994,14815,3,0,0,0,0,1,0,1,1
11995,38809,0,0,0,0,0,1,0,0,0
11998,20507,2,0,0,0,0,1,0,1,0
11998,45321,0,0,0,0,0,0,0,0,0
11999,26692,1,0,1,0,0,1,0,0,0
11999,10532,3,0,0,0,0,1,0,0,1
11999,18872,2,0,0,0,0,1,0,0,1
12000,35838,1,0,0,0,0,1,0,0,1
12411,10815,3,0,0,0,0,0,0,0,0
12488,12929,2,0,0,0,0,1,0,1,0
12500,14467,2,0,0,0,0,1,0,0,0
12557,24308,2,0,0,0,0,1,0,0,0
,,,,,,,,,,
,,0,,,,,,,,
,,4,,,,,,,,
